episode,step,reward
1,1,3076.8798828125
1,2,3158.59326171875
1,3,2846.036865234375
1,4,2641.39453125
1,5,3585.012939453125
1,6,2896.037109375
1,7,3102.77197265625
1,8,2904.9072265625
1,9,2938.670166015625
1,10,3036.31103515625
1,11,2309.525390625
1,12,2966.370849609375
1,13,2574.7705078125
1,14,2815.52685546875
1,15,3059.64208984375
1,16,3043.621826171875
1,17,3360.9326171875
1,18,2903.43505859375
1,19,2753.4658203125
1,20,3120.099853515625
1,21,3091.13232421875
1,22,2562.15673828125
1,23,2967.35498046875
1,24,3080.7177734375
1,25,3264.641845703125
2,1,2796.642578125
2,2,2631.03125
2,3,2976.665771484375
2,4,2885.91064453125
2,5,2700.737060546875
2,6,3649.517333984375
2,7,2684.2060546875
2,8,2975.164306640625
2,9,2627.954345703125
2,10,2877.506103515625
2,11,2915.880859375
2,12,3082.5888671875
2,13,3177.653564453125
2,14,2493.83642578125
2,15,2327.317626953125
2,16,2930.970947265625
2,17,2904.94970703125
2,18,2857.446533203125
2,19,2450.5107421875
2,20,3119.518310546875
2,21,3188.95458984375
2,22,3098.531494140625
2,23,2862.361328125
2,24,2546.48583984375
2,25,3550.319580078125
3,1,2474.858154296875
3,2,3368.2841796875
3,3,3331.308837890625
3,4,3156.017578125
3,5,2983.302001953125
3,6,2795.875244140625
3,7,3493.611083984375
3,8,2946.984619140625
3,9,2449.50244140625
3,10,2833.409423828125
3,11,3410.280517578125
3,12,2966.3798828125
3,13,2927.533447265625
3,14,2568.622314453125
3,15,2434.410888671875
3,16,2809.60595703125
3,17,2606.08935546875
3,18,2962.999755859375
3,19,3217.346435546875
3,20,3644.058349609375
3,21,3248.06787109375
3,22,3029.8251953125
3,23,2829.3037109375
3,24,2779.532958984375
3,25,2585.31005859375
4,1,3217.433837890625
4,2,3483.248291015625
4,3,3688.638427734375
4,4,2996.6162109375
4,5,3279.057373046875
4,6,2518.031005859375
4,7,2585.09716796875
4,8,2719.8154296875
4,9,2917.0556640625
4,10,2878.031005859375
4,11,2890.14208984375
4,12,3254.075927734375
4,13,2759.45263671875
4,14,2577.027587890625
4,15,3047.25634765625
4,16,2741.078369140625
4,17,2728.9794921875
4,18,2754.536865234375
4,19,2349.578125
4,20,2981.071044921875
4,21,2627.742919921875
4,22,2913.19580078125
4,23,3394.435791015625
4,24,3178.73046875
4,25,2550.21240234375
5,1,2471.012939453125
5,2,3369.2705078125
5,3,3039.902099609375
5,4,3064.35595703125
5,5,2962.276611328125
5,6,2588.535888671875
5,7,2768.423095703125
5,8,2878.38720703125
5,9,2746.684814453125
5,10,3447.28076171875
5,11,3162.310302734375
5,12,3123.62255859375
5,13,2579.71240234375
5,14,2723.675048828125
5,15,2625.898193359375
5,16,3018.86474609375
5,17,2670.4755859375
5,18,2221.1484375
5,19,2597.538330078125
5,20,2818.663330078125
5,21,2842.310546875
5,22,3139.8955078125
5,23,3143.229248046875
5,24,2341.20556640625
5,25,3619.125244140625
6,1,3155.496826171875
6,2,2578.76318359375
6,3,2779.211181640625
6,4,2873.63232421875
6,5,2810.683837890625
6,6,3190.110595703125
6,7,2810.12158203125
6,8,3167.582763671875
6,9,3310.2890625
6,10,3127.294921875
6,11,2740.792236328125
6,12,3362.85107421875
6,13,2467.85888671875
6,14,2923.33203125
6,15,2368.7392578125
6,16,2621.29150390625
6,17,3205.7744140625
6,18,2414.829345703125
6,19,2502.778076171875
6,20,3470.57275390625
6,21,3616.059326171875
6,22,2680.404296875
6,23,3231.12255859375
6,24,2801.139404296875
6,25,2355.63037109375
7,1,2657.302978515625
7,2,2742.288818359375
7,3,3306.816162109375
7,4,3315.420654296875
7,5,3037.94140625
7,6,3319.661865234375
7,7,2445.285400390625
7,8,2366.18994140625
7,9,2700.23046875
7,10,3321.55517578125
7,11,2773.31005859375
7,12,2762.4853515625
7,13,3268.27197265625
7,14,2767.59130859375
7,15,2765.79638671875
7,16,3395.604736328125
7,17,2677.41162109375
7,18,2496.1259765625
7,19,2566.916748046875
7,20,3093.03515625
7,21,2499.43310546875
7,22,2696.348388671875
7,23,2930.87548828125
7,24,2818.758056640625
7,25,3215.178955078125
8,1,3240.42724609375
8,2,3469.6220703125
8,3,3124.09033203125
8,4,3211.516845703125
8,5,3378.369873046875
8,6,2264.639404296875
8,7,2912.6513671875
8,8,3085.10302734375
8,9,2549.698486328125
8,10,2492.083251953125
8,11,3310.005126953125
8,12,2313.7041015625
8,13,3043.08203125
8,14,3278.5859375
8,15,2663.585205078125
8,16,3444.880126953125
8,17,2269.98583984375
8,18,3066.517578125
8,19,2937.5029296875
8,20,3162.01611328125
8,21,3710.376953125
8,22,2484.3798828125
8,23,2922.17822265625
8,24,3217.004638671875
8,25,2502.90478515625
9,1,2415.123291015625
9,2,2825.927001953125
9,3,2903.42333984375
9,4,3147.618896484375
9,5,3247.761474609375
9,6,3359.6875
9,7,3672.568359375
9,8,3131.693603515625
9,9,3725.581298828125
9,10,2745.139404296875
9,11,2602.601318359375
9,12,2636.960693359375
9,13,2839.049072265625
9,14,2655.772705078125
9,15,3040.233642578125
9,16,2737.1162109375
9,17,3231.001220703125
9,18,2391.81982421875
9,19,2986.25927734375
9,20,2704.927734375
9,21,3069.651123046875
9,22,3274.861083984375
9,23,3585.08642578125
9,24,2490.240966796875
9,25,3286.33447265625
10,1,2769.1337890625
10,2,3174.80712890625
10,3,3260.080810546875
10,4,2987.3642578125
10,5,3109.302001953125
10,6,2774.183837890625
10,7,2935.42578125
10,8,3549.997802734375
10,9,3025.37890625
10,10,2914.836669921875
10,11,3477.379638671875
10,12,3135.82861328125
10,13,2315.686767578125
10,14,2674.115478515625
10,15,2806.86328125
10,16,2910.4189453125
10,17,2988.95263671875
10,18,2709.21826171875
10,19,2638.540771484375
10,20,3391.2255859375
10,21,3568.723388671875
10,22,3091.79541015625
10,23,2571.688232421875
10,24,3582.3642578125
10,25,2713.691162109375
11,1,3264.43896484375
11,2,3049.006103515625
11,3,2842.264404296875
11,4,3142.290283203125
11,5,3071.434814453125
11,6,3042.59375
11,7,3365.06103515625
11,8,3017.175048828125
11,9,3621.440185546875
11,10,2748.736083984375
11,11,2872.34326171875
11,12,3062.854736328125
11,13,2264.447265625
11,14,2230.861328125
11,15,2453.01318359375
11,16,3008.93603515625
11,17,3007.0830078125
11,18,2651.12939453125
11,19,3076.19580078125
11,20,3154.8349609375
11,21,3231.458740234375
