episode,total_reward,steps
1,74060.00952148438,25
2,72312.66186523438,25
3,73852.52026367188,25
4,73030.54028320312,25
5,71963.80493164062,25
6,72566.36181640625,25
7,71939.83618164062,25
8,74054.91137695312,25
9,74706.43994140625,25
10,75077.00341796875,25
11,73845.99462890625,25
12,72590.19482421875,25
13,72438.66235351562,25
14,70879.28588867188,25
15,72786.54541015625,25
16,73532.40869140625,25
17,75259.17138671875,25
18,73921.50439453125,25
19,74456.8740234375,25
20,73106.93237304688,25
21,71252.67333984375,25
22,69532.134765625,25
23,75479.271484375,25
24,69717.57446289062,25
25,72524.06005859375,25
26,75987.27856445312,25
27,72242.359375,25
28,74130.4482421875,25
29,74250.00244140625,25
30,72459.67724609375,25
31,72296.71215820312,25
32,74294.35034179688,25
33,73874.44165039062,25
34,75140.62951660156,25
35,71705.05346679688,25
36,73763.47119140625,25
37,74774.13525390625,25
38,73209.62280273438,25
39,72213.11328125,25
40,75171.12109375,25
41,69620.1572265625,25
42,72821.54345703125,25
43,81850.52465820312,25
44,96605.71337890625,25
45,108677.11499023438,25
46,113227.99829101562,25
47,114284.923828125,25
48,114387.36181640625,25
49,114094.626953125,25
50,114278.70654296875,25
51,114413.31201171875,25
52,114240.8017578125,25
53,114371.796875,25
54,114295.65966796875,25
55,114365.3330078125,25
56,114205.494140625,25
57,113934.12109375,25
58,114212.40625,25
59,114115.51953125,25
60,113628.830078125,25
61,113705.41015625,25
62,114369.39404296875,25
63,114768.98193359375,25
64,115039.99560546875,25
65,115437.5556640625,25
66,115235.3046875,25
67,115183.43359375,25
68,114845.89697265625,25
69,114532.30908203125,25
70,115123.8212890625,25
71,115350.638671875,25
72,115234.16064453125,25
73,115152.7021484375,25
74,115481.72265625,25
75,115412.142578125,25
76,115040.21630859375,25
77,114672.55078125,25
78,114514.83056640625,25
79,114293.8974609375,25
80,114357.01123046875,25
81,114053.34765625,25
82,114513.38818359375,25
83,114164.76171875,25
84,114363.30126953125,25
85,114256.3564453125,25
86,114222.82080078125,25
87,114474.28564453125,25
