episode,step,reward
1,1,3076.874755859375
1,2,3158.594970703125
1,3,2846.035888671875
1,4,2641.3935546875
1,5,3585.013671875
1,6,2896.04150390625
1,7,3102.77099609375
1,8,2904.9091796875
1,9,2938.680908203125
1,10,3036.306884765625
1,11,2424.331787109375
1,12,3309.104248046875
1,13,3074.86376953125
1,14,3315.6201171875
1,15,3402.37158203125
1,16,3158.42041015625
1,17,3360.935302734375
1,18,2903.441650390625
1,19,2753.467529296875
1,20,3120.09765625
1,21,3091.12744140625
1,22,2562.158935546875
1,23,2967.35546875
1,24,3080.7177734375
1,25,3264.645751953125
2,1,2796.6416015625
2,2,2631.034423828125
2,3,2976.666748046875
2,4,2885.9130859375
2,5,2700.7373046875
2,6,3649.515625
2,7,2684.2041015625
2,8,2975.163818359375
2,9,2627.95947265625
2,10,2877.502197265625
2,11,3030.687744140625
2,12,3425.3212890625
2,13,3677.741943359375
2,14,2993.92822265625
2,15,2670.04931640625
2,16,3045.77734375
2,17,2904.94873046875
2,18,2857.450439453125
2,19,2450.5126953125
2,20,3119.521484375
2,21,3188.94873046875
2,22,3098.531982421875
2,23,2862.36181640625
2,24,2546.4912109375
2,25,3550.32666015625
3,1,2474.859130859375
3,2,3368.286865234375
3,3,3331.3115234375
3,4,3156.019287109375
3,5,2983.304443359375
3,6,2795.87353515625
3,7,3493.608154296875
3,8,2946.984375
3,9,2449.509765625
3,10,2833.40625
3,11,3525.090087890625
3,12,3309.1015625
3,13,3427.628662109375
3,14,3068.714111328125
3,15,2777.13623046875
3,16,2924.421142578125
3,17,2606.07958984375
3,18,2963.00732421875
3,19,3217.350830078125
3,20,3644.060302734375
3,21,3248.0703125
3,22,3029.824462890625
3,23,2829.302001953125
3,24,2779.533447265625
3,25,2585.320068359375
4,1,3217.428466796875
4,2,3483.251708984375
4,3,3688.637451171875
4,4,2996.615478515625
4,5,3279.0615234375
4,6,2518.0302734375
4,7,2585.095947265625
4,8,2719.820556640625
4,9,2917.06591796875
4,10,2878.028564453125
4,11,3004.949951171875
4,12,3596.80419921875
4,13,3259.5537109375
4,14,3077.119384765625
4,15,3389.99658203125
4,16,2855.880615234375
4,17,2728.980224609375
4,18,2754.550048828125
4,19,2349.577880859375
4,20,2981.06982421875
4,21,2627.742919921875
4,22,2913.19677734375
4,23,3394.43798828125
4,24,3178.7314453125
4,25,2550.216064453125
5,1,2471.009765625
5,2,3369.27490234375
5,3,3039.9033203125
5,4,3064.35693359375
5,5,2962.27685546875
5,6,2588.5380859375
5,7,2768.423095703125
5,8,2878.389404296875
5,9,2746.688232421875
5,10,3447.27587890625
5,11,3277.10888671875
5,12,3466.356689453125
5,13,3079.80859375
5,14,3223.7705078125
5,15,2968.6201171875
5,16,3133.666748046875
5,17,2670.468505859375
5,18,2221.155517578125
5,19,2597.5380859375
5,20,2818.65966796875
5,21,2842.310791015625
5,22,3139.896484375
5,23,3143.23095703125
5,24,2341.205078125
5,25,3619.125732421875
6,1,3155.490478515625
6,2,2578.76806640625
6,3,2779.21142578125
6,4,2873.635009765625
6,5,2810.689208984375
6,6,3190.10986328125
6,7,2810.120849609375
6,8,3167.582275390625
6,9,3310.2978515625
6,10,3127.292724609375
6,11,2855.6044921875
6,12,3705.583984375
6,13,2967.966552734375
6,14,3423.41943359375
6,15,2711.46044921875
6,16,2736.097900390625
6,17,3205.773193359375
6,18,2414.846435546875
6,19,2502.77978515625
6,20,3470.572998046875
6,21,3616.05712890625
6,22,2680.405517578125
6,23,3231.12451171875
6,24,2801.14208984375
6,25,2355.63330078125
7,1,2657.29638671875
7,2,2742.2890625
7,3,3306.81591796875
7,4,3315.419921875
7,5,3037.940185546875
7,6,3319.65966796875
7,7,2445.28564453125
7,8,2366.191650390625
7,9,2700.238037109375
7,10,3321.55517578125
7,11,2888.109619140625
7,12,3105.2216796875
7,13,3768.365966796875
7,14,3267.684814453125
7,15,3108.523193359375
7,16,3510.409423828125
7,17,2677.406982421875
7,18,2496.133056640625
7,19,2566.918212890625
7,20,3093.036865234375
7,21,2499.4326171875
7,22,2696.3486328125
7,23,2930.87451171875
7,24,2818.756103515625
7,25,3215.181884765625
8,1,3240.419677734375
8,2,3469.623291015625
8,3,3124.091796875
8,4,3211.517822265625
8,5,3378.37060546875
8,6,2264.640380859375
8,7,2912.650390625
8,8,3085.107177734375
8,9,2549.701904296875
8,10,2492.07958984375
8,11,3424.806884765625
8,12,2656.431396484375
8,13,3543.1689453125
8,14,3778.6796875
8,15,3006.310546875
8,16,3559.68701171875
8,17,2269.978515625
8,18,3066.5244140625
8,19,2937.506591796875
8,20,3162.01513671875
8,21,3710.37548828125
8,22,2484.387451171875
8,23,2922.1787109375
8,24,3217.006103515625
8,25,2502.908447265625
9,1,2415.123046875
9,2,2825.9296875
9,3,2903.424560546875
9,4,3147.620361328125
9,5,3247.7607421875
9,6,3359.68798828125
9,7,3672.566162109375
9,8,3131.697021484375
9,9,3725.58154296875
9,10,2745.133056640625
9,11,2717.40185546875
9,12,2979.68505859375
9,13,3339.14697265625
9,14,3155.858154296875
9,15,3382.9609375
9,16,2851.923828125
9,17,3230.9990234375
9,18,2391.827880859375
9,19,2986.259521484375
9,20,2704.92724609375
9,21,3069.64501953125
9,22,3274.8623046875
9,23,3585.088623046875
9,24,2490.23779296875
9,25,3286.335205078125
10,1,2769.13134765625
10,2,3174.8095703125
10,3,3260.085205078125
10,4,2987.36181640625
10,5,3109.2978515625
10,6,2774.180908203125
10,7,2935.41845703125
10,8,3549.99853515625
10,9,3025.380126953125
10,10,2914.8330078125
10,11,3592.19384765625
10,12,3478.556640625
10,13,2815.77783203125
10,14,3174.2119140625
10,15,3149.586669921875
10,16,3025.2275390625
10,17,2988.9501953125
10,18,2709.22216796875
10,19,2638.538818359375
10,20,3391.223876953125
10,21,3568.72265625
10,22,3091.79541015625
10,23,2571.689208984375
10,24,3582.36376953125
10,25,2713.69140625
11,1,3264.438232421875
11,2,3049.0078125
11,3,2842.264892578125
11,4,3142.291259765625
11,5,3071.4345703125
11,6,3042.599365234375
11,7,3365.05615234375
11,8,3017.182373046875
11,9,3621.44140625
11,10,2748.7294921875
11,11,2987.149658203125
11,12,3405.582763671875
11,13,2764.5478515625
11,14,2730.952392578125
11,15,2795.7412109375
11,16,3123.7490234375
11,17,3007.08447265625
11,18,2651.136474609375
11,19,3076.201171875
11,20,3154.834716796875
11,21,3231.45654296875
11,22,3308.87109375
11,23,2980.313720703125
11,24,2552.823974609375
11,25,2826.3876953125
12,1,3718.119140625
12,2,2577.6904296875
12,3,2914.4365234375
12,4,3402.6396484375
12,5,3039.23681640625
12,6,2965.6962890625
12,7,3298.38525390625
12,8,2915.82275390625
12,9,2882.416259765625
12,10,2487.8193359375
12,11,3171.65478515625
12,12,2954.27001953125
12,13,3555.07470703125
