evaluate_num,episode,total_steps,mu_s,mu_c,eval_reward,eval_F_comm,eval_P_s,eval_P_c,eval_mu_s_P_s,eval_mu_c_P_c,eval_reconstructed_reward,eval_reward_reconstruct_error,eval_avg_slot_reward,eval_avg_F_comm,eval_avg_P_s,eval_avg_P_c,eval_avg_mu_s_P_s,eval_avg_mu_c_P_c,eval_gamma_s,eval_times,eval_steps_per_episode
1,100,2500,1.0,1.0,44397.611907958984,75581.48559570312,-26553.865844726562,-4630.0076904296875,-26553.865844726562,-4630.0076904296875,44397.612060546875,-0.000152587890625,1775.9044763183595,3023.259423828125,-1062.1546337890625,-185.2003076171875,-1062.1546337890625,-185.2003076171875,1967.9692187499998,3,25
2,200,5000,1.0,1.0,44500.97604370117,75628.41943359375,-26553.8935546875,-4573.550155639648,-26553.8935546875,-4573.550155639648,44500.9757232666,0.0003204345703125,1780.0390417480469,3025.13677734375,-1062.1557421875,-182.94200622558594,-1062.1557421875,-182.94200622558594,1967.9681140136718,3,25
3,300,7500,1.0,1.0,44500.97393798828,75628.41625976562,-26553.8935546875,-4573.5487060546875,-26553.8935546875,-4573.5487060546875,44500.97399902344,-6.103515625e-05,1780.0389575195313,3025.136650390625,-1062.1557421875,-182.94194824218752,-1062.1557421875,-182.94194824218752,1967.9681140136718,3,25
4,400,10000,1.0,1.0,46476.722900390625,77702.20654296875,-26554.094116210938,-4671.389678955078,-26554.094116210938,-4671.389678955078,46476.722747802734,0.000152587890625,1859.068916015625,3108.0882617187503,-1062.1637646484376,-186.85558715820312,-1062.1637646484376,-186.85558715820312,1967.960147705078,3,25
5,500,12500,1.0,1.0,51232.83087158203,82716.31103515625,-26554.165161132812,-4929.314712524414,-26554.165161132812,-4929.314712524414,51232.83116149902,-0.0002899169921875,2049.313234863281,3308.65244140625,-1062.1666064453125,-197.17258850097656,-1062.1666064453125,-197.17258850097656,1967.9572607421876,3,25
6,600,15000,1.0,1.0,51232.82455444336,82716.30590820312,-26554.165161132812,-4929.316337585449,-26554.165161132812,-4929.316337585449,51232.82440948486,0.00014495849609375,2049.3129821777343,3308.652236328125,-1062.1666064453125,-197.172653503418,-1062.1666064453125,-197.172653503418,1967.9572607421876,3,25
7,700,17500,1.0,1.0,56663.19580078125,88718.1357421875,-26554.230346679688,-5500.70964050293,-26554.230346679688,-5500.70964050293,56663.19575500488,4.57763671875e-05,2266.52783203125,3548.7254296875,-1062.1692138671874,-220.02838562011718,-1062.1692138671874,-220.02838562011718,1967.9546093750002,3,25
8,800,20000,1.0,1.0,61668.380310058594,94128.50048828125,-26554.136108398438,-5905.984558105469,-26554.136108398438,-5905.984558105469,61668.379821777344,0.00048828125,2466.7352124023437,3765.1400195312503,-1062.1654443359375,-236.23938232421878,-1062.1654443359375,-236.23938232421878,1967.9584020996092,3,25
9,900,22500,1.0,1.0,61668.37420654297,94128.4912109375,-26554.136108398438,-5905.980865478516,-26554.136108398438,-5905.980865478516,61668.37423706055,-3.0517578125e-05,2466.7349682617187,3765.1396484375,-1062.1654443359375,-236.2392346191406,-1062.1654443359375,-236.2392346191406,1967.9584020996092,3,25
10,1000,25000,1.0,1.0,65586.49719238281,98566.6171875,-26554.095458984375,-6426.024673461914,-26554.095458984375,-6426.024673461914,65586.49705505371,0.0001373291015625,2623.4598876953123,3942.6646875,-1062.163818359375,-257.0409869384766,-1062.163818359375,-257.0409869384766,1967.960029296875,3,25
11,1100,27500,1.0,1.0,65586.46313476562,98566.580078125,-26554.095458984375,-6426.02165222168,-26554.095458984375,-6426.02165222168,65586.46296691895,0.0001678466796875,2623.458525390625,3942.6632031249997,-1062.163818359375,-257.0408660888672,-1062.163818359375,-257.0408660888672,1967.960029296875,3,25
12,1200,30000,1.0,1.0,68410.20959472656,101684.8095703125,-26554.183349609375,-6720.416778564453,-26554.183349609375,-6720.416778564453,68410.20944213867,0.000152587890625,2736.4083837890626,4067.3923828124994,-1062.167333984375,-268.8166711425781,-1062.167333984375,-268.8166711425781,1967.9565466308593,3,25
13,1300,32500,1.0,1.0,71752.99426269531,105362.50146484375,-26554.165161132812,-7055.342102050781,-26554.165161132812,-7055.342102050781,71752.99420166016,6.103515625e-05,2870.1197705078125,4214.50005859375,-1062.1666064453125,-282.21368408203125,-1062.1666064453125,-282.21368408203125,1967.9572863769529,3,25
